序號,縣市,監測日期,測站,"二氧化硫","一氧化碳","臭氧","懸浮微粒","細懸浮微粒","氮氧化物","一氧化氮","二氧化氮","總碳氫化合物","非甲烷碳氫化合物","甲烷","風速","小時風速值","溫度","相對濕度"
133,新竹市,2017/08/19,新竹,3.8,0.25,29.0,26.0,17,14,1.4,12.6,1.89,0.134,1.759,1.37,0.96,30.48,66.23
134,新竹市,2017/08/18,新竹,2.0,0.26,27.7,24.0,15,14,1.57,12.16,1.88,0.12,1.762,1.43,0.95,30.63,67.67
135,新竹市,2017/08/17,新竹,2.6,0.23,21.0,20.0,10,12,1.6,10.53,1.84,0.086,1.755,1.53,1.08,30.51,69.55
136,新竹市,2017/08/16,新竹,2.7,0.31,15.7,20.0,10,14,3.37,10.79,1.88,0.12,1.755,1.9,1.58,30.51,69.43
137,新竹市,2017/08/15,新竹,3.6,0.31,12.0,17.0,9,17,5.08,11.7,1.86,0.119,1.738,2.2,1.78,30.53,67.32
138,新竹市,2017/08/14,新竹,3.1,0.34,12.4,18.0,7,14,3.2,10.43,1.81,0.09,1.722,2.58,2.07,30.49,67.99
139,新竹市,2017/08/13,新竹,2.7,0.28,14.8,23.0,10,12,2.26,9.37,1.83,0.072,1.758,2.39,1.98,30.27,74.7
140,新竹市,2017/08/12,新竹,2.8,0.35,14.5,28.0,12,14,2.45,11.62,1.85,0.097,1.756,2.53,2.07,30.81,72.08
141,新竹市,2017/08/11,新竹,2.3,0.28,20.1,28.0,10,12,1.96,10.09,1.83,0.087,1.739,3.01,2.55,31.01,69.58
142,新竹市,2017/08/10,新竹,2.0,0.22,20.3,22.0,8,10,1.35,9.01,1.82,0.085,1.732,3.73,3.15,31.15,66.08
143,新竹市,2017/08/09,新竹,1.6,0.27,17.2,23.0,8,9,2.19,6.94,1.78,0.07,1.71,4.15,3.48,31.47,64.23
144,新竹市,2017/08/08,新竹,2.3,0.27,16.4,22.0,9,9,1.26,8.12,1.8,0.077,1.727,3.66,3.05,31.62,64.6
145,新竹市,2017/08/07,新竹,3.1,0.27,19.7,21.0,10,11,1.53,9.13,1.84,0.078,1.763,3.12,2.62,31.3,69.7
146,新竹市,2017/08/06,新竹,2.3,0.29,18.4,25.0,10,11,2.21,8.85,1.84,0.075,1.763,3.22,2.68,31.08,69.7
147,新竹市,2017/08/05,新竹,-,0.32,-,-,10,-,-,-,1.87,0.091,1.782,2.66,2.3,30.79,70.74
148,新竹市,2017/08/04,新竹,1.9,0.34,21.4,23.0,10,12,2.0,10.03,1.92,0.107,1.81,1.77,1.42,30.24,72.85
149,新竹市,2017/08/03,新竹,2.3,0.35,25.9,27.0,14,14,2.02,12.03,2.03,0.15,1.875,1.45,1.11,29.96,74.92
150,新竹市,2017/08/02,新竹,2.6,0.37,29.7,23.0,14,17,2.33,14.85,2.04,0.152,1.89,1.64,1.18,29.63,76.32
151,新竹市,2017/08/01,新竹,2.2,0.52,16.7,19.0,10,20,4.51,15.13,2.05,0.196,1.855,1.57,1.22,29.92,69.1
152,新竹市,2017/07/31,新竹,1.4,0.46,14.8,13.0,6,20,4.07,15.99,1.97,0.153,1.821,1.6,1.04,27.48,78.69
153,新竹市,2017/07/30,新竹,1.8,0.29,24.2,16.0,2,6,1.29,5.04,1.77,0.053,1.713,2.24,1.56,29.35,70.21
154,新竹市,2017/07/29,新竹,0.7,0.15,20.7,25.0,2,7,0.88,5.86,1.73,0.049,1.679,4.68,3.55,30.29,64.61
155,新竹市,2017/07/28,新竹,2.5,0.26,26.7,33.0,14,13,2.08,10.9,1.86,0.122,1.733,2.83,1.93,31.28,61.99
156,新竹市,2017/07/27,新竹,2.8,0.31,31.4,29.0,17,12,1.34,11.09,1.85,0.106,1.739,1.43,0.9,29.79,67.65
157,新竹市,2017/07/26,新竹,3.3,0.33,21.2,20.0,12,16,2.6,13.72,1.89,0.121,1.766,1.48,0.96,30.36,65.62
158,新竹市,2017/07/25,新竹,2.6,0.32,18.2,16.0,8,13,2.53,10.18,1.86,0.101,1.756,1.83,1.44,30.8,62.9
159,新竹市,2017/07/24,新竹,3.2,0.3,27.1,26.0,15,11,1.39,10.02,1.82,0.083,1.741,1.76,1.44,30.73,66.42
160,新竹市,2017/07/23,新竹,3.2,0.33,32.3,31.0,17,11,0.92,9.94,1.84,0.102,1.742,1.95,1.51,31.18,65.1
161,新竹市,2017/07/22,新竹,2.6,0.32,38.8,27.0,17,13,0.66,12.14,1.88,0.128,1.748,1.47,1.07,30.62,63.95
162,新竹市,2017/07/21,新竹,2.6,0.28,20.7,21.0,12,14,1.68,12.85,1.89,0.138,1.754,1.37,0.91,30.65,61.38
163,新竹市,2017/07/20,新竹,2.9,0.23,23.3,23.0,13,13,2.11,10.99,1.84,0.111,1.727,1.58,1.07,30.73,61.58
164,新竹市,2017/07/19,新竹,1.9,0.24,25.0,25.0,13,13,1.81,11.0,1.87,0.139,1.734,1.5,1.0,30.41,64.17
165,新竹市,2017/07/17,新竹,2.3,0.28,23.9,27.0,13,13,1.55,11.18,1.86,0.119,1.737,1.42,0.92,30.17,66.53
166,新竹市,2017/07/16,新竹,2.9,0.24,24.9,23.0,12,10,0.87,9.0,1.79,0.069,1.722,1.69,1.2,30.34,65.35
167,新竹市,2017/07/15,新竹,1.6,0.26,21.3,19.0,7,12,1.88,9.66,1.82,0.098,1.722,1.5,0.93,30.4,66.62
168,新竹市,2017/07/14,新竹,2.1,0.29,20.4,18.0,10,13,1.93,10.64,1.82,0.088,1.728,1.51,1.14,30.28,65.55
169,新竹市,2017/07/13,新竹,2.0,0.22,19.1,17.0,8,11,1.79,8.87,1.8,0.08,1.719,1.63,1.41,30.9,61.61
170,新竹市,2017/07/12,新竹,3.1,0.28,16.2,20.0,8,13,2.1,10.72,1.88,0.148,1.731,1.59,1.3,30.68,64.01
171,新竹市,2017/07/11,新竹,1.4,0.3,18.1,20.0,9,16,2.57,13.3,1.88,0.131,1.747,1.7,1.32,30.28,65.63
172,新竹市,2017/07/10,新竹,2.7,0.24,20.3,19.0,6,11,2.69,8.51,1.82,0.087,1.728,1.98,1.74,30.6,67.46
173,新竹市,2017/07/09,新竹,-,0.3,-,-,-,-,-,-,1.81,0.098,1.713,1.73,1.39,29.61,68.45
174,新竹市,2017/07/08,新竹,2.2,0.32,19.6,24.0,6,17,4.39,12.62,1.9,0.149,1.748,1.56,1.23,28.83,67.81
175,新竹市,2017/07/07,新竹,2.4,0.38,19.7,21.0,5,19,4.17,15.08,1.89,0.142,1.748,1.34,1.0,28.41,67.9
176,新竹市,2017/07/06,新竹,2.8,0.34,17.4,24.0,6,16,2.57,13.6,1.93,0.175,1.753,1.58,1.03,29.38,68.61
177,新竹市,2017/07/05,新竹,2.0,0.33,18.2,21.0,5,19,4.55,14.41,2.0,0.236,1.761,1.35,0.93,29.25,65.75
178,新竹市,2017/07/04,新竹,1.7,0.25,20.1,20.0,6,-,-,-,1.89,0.147,1.739,1.62,1.16,29.28,66.18
179,新竹市,2017/07/01,新竹,2.4,0.27,26.5,20.0,6,14,1.49,12.29,1.88,0.15,1.733,1.84,1.34,28.98,67.92
180,新竹市,2017/06/30,新竹,2.5,0.32,29.5,29.0,14,15,1.42,13.44,1.86,0.131,1.728,1.59,1.07,29.58,65.3
181,新竹市,2017/06/29,新竹,2.4,0.23,21.3,25.0,9,12,1.71,10.66,1.82,0.104,1.716,1.6,1.05,29.9,62.71
